#Release 13.3 - par O.76xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Fri Nov  4 11:46:32 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       syn_tdc.ncd
#OUTPUT FILE:      par_tdc_pad.csv
#PART TYPE:        xc6slx45t
#SPEED GRADE:      -3
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
A3,,IOBS,IO_L5N_0,UNUSED,,0,,,,,,,,,
A4,,IOBS,IO_L6N_0,UNUSED,,0,,,,,,,,,
A5,,IOBS,IO_L8N_VREF_0,UNUSED,,0,,,,,,,,,
A6,,OPAD,MGTTXN0_101,UNUSED,,,,,,,,,,,
A7,,,MGTAVTTTX_101,,,,,,,,,,,,
A8,,OPAD,MGTTXN1_101,UNUSED,,,,,,,,,,,
A9,,,GND,,,,,,,,,,,,
A10,,IPAD,MGTREFCLK0P_101,UNUSED,,,,,,,,,,,
A11,,,GND,,,,,,,,,,,,
A12,,IPAD,MGTREFCLK0P_123,UNUSED,,,,,,,,,,,
A13,,,GND,,,,,,,,,,,,
A14,,OPAD,MGTTXN0_123,UNUSED,,,,,,,,,,,
A15,,,MGTAVTTTX_123,,,,,,,,,,,,
A16,,OPAD,MGTTXN1_123,UNUSED,,,,,,,,,,,
A17,,IOBS,IO_L50N_0,UNUSED,,0,,,,,,,,,
A18,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
A19,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
A20,term_en_3_o,IOB,IO_L65N_SCP2_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
A21,,,TCK,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,
AA1,,IOBS,IO_L10N_3,UNUSED,,3,,,,,,,,,
AA2,,IOBM,IO_L10P_3,UNUSED,,3,,,,,,,,,
AA3,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
AA4,data_bus_io(26),IOB,IO_L63P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AA5,,,GND,,,,,,,,,,,,
AA6,data_bus_io(12),IOB,IO_L49P_D3_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AA7,,,VCCO_2,,,2,,,,,2.50,,,,
AA8,data_bus_io(18),IOB,IO_L45P_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AA9,,,GND,,,,,,,,,,,,
AA10,,IOBM,IO_L41P_2,UNUSED,,2,,,,,,,,,
AA11,,,VCCO_2,,,2,,,,,2.50,,,,
AA12,data_bus_io(5),IOB,IO_L31P_GCLK31_D14_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AA13,,,GND,,,,,,,,,,,,
AA14,tdc_in_fpga_5_i,IOB,IO_L6P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
AA15,,,VCCO_2,,,2,,,,,2.50,,,,
AA16,,IOBM,IO_L19P_2,UNUSED,,2,,,,,,,,,
AA17,,,GND,,,,,,,,,,,,
AA18,pll_sdi_o,IOB,IO_L14P_D11_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AA19,,,VCCO_2,,,2,,,,,2.50,,,,
AA20,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
AA21,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
AA22,,,SUSPEND,,,,,,,,,,,,
AB1,,,GND,,,,,,,,,,,,
AB2,,,PROGRAM_B_2,,,,,,,,,,,,
AB3,,,VCCO_2,,,2,,,,,2.50,,,,
AB4,data_bus_io(27),IOB,IO_L63N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AB5,data_bus_io(9),IOB,IO_L62N_D6_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AB6,data_bus_io(13),IOB,IO_L49N_D4_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AB7,data_bus_io(17),IOB,IO_L47N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AB8,data_bus_io(19),IOB,IO_L45N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AB9,data_bus_io(25),IOB,IO_L43N_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AB10,,IOBS,IO_L41N_VREF_2,UNUSED,,2,,,,,,,,,
AB11,,IOBS,IO_L32N_GCLK28_2,UNUSED,,2,,,,,,,,,
AB12,data_bus_io(7),IOB,IO_L31N_GCLK30_D15_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
AB13,rd_n_o,IOB,IO_L30N_GCLK0_USERCCLK_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
AB14,,IOBS,IO_L6N_2,UNUSED,,2,,,,,,,,,
AB15,address_o(3),IOB,IO_L21N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AB16,pll_dac_sync_o,IOB,IO_L19N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AB17,pll_sclk_o,IOB,IO_L15N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
AB18,pll_sdo_i,IOB,IO_L14N_D12_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
AB19,spare_o,IOB,IO_L13N_D10_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AB20,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
AB21,,,DONE_2,,,,,,,,,,,,
AB22,,,GND,,,,,,,,,,,,
B1,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
B2,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
B3,,IOBM,IO_L5P_0,UNUSED,,0,,,,,,,,,
B4,,,VCCO_0,,,0,,,,,2.50,,,,
B5,,,GND,,,,,,,,,,,,
B6,,OPAD,MGTTXP0_101,UNUSED,,,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,OPAD,MGTTXP1_101,UNUSED,,,,,,,,,,,
B9,,,MGTAVCCPLL0_101,,,,,,,,,,,,
B10,,IPAD,MGTREFCLK0N_101,UNUSED,,,,,,,,,,,
B11,,,GND,,,,,,,,,,,,
B12,,IPAD,MGTREFCLK0N_123,UNUSED,,,,,,,,,,,
B13,,,MGTAVCCPLL0_123,,,,,,,,,,,,
B14,,OPAD,MGTTXP0_123,UNUSED,,,,,,,,,,,
B15,,,GND,,,,,,,,,,,,
B16,,OPAD,MGTTXP1_123,UNUSED,,,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
B19,,,VCCO_0,,,0,,,,,2.50,,,,
B20,term_en_2_o,IOB,IO_L65P_SCP3_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
B21,vc_rdy_i(0),IOB,IO_L10P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
B22,vc_rdy_i(1),IOB,IO_L10N_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
C1,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
C2,,,VCCO_3,,,3,,,,,any******,,,,
C3,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,
C4,,IOBM,IO_L6P_0,UNUSED,,0,,,,,,,,,
C5,,IOBM,IO_L8P_0,UNUSED,,0,,,,,,,,,
C6,,,GND,,,,,,,,,,,,
C7,,IPAD,MGTRXN0_101,UNUSED,,,,,,,,,,,
